id, address
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
11, "Via Per Sassuolo, 74, Formigine, Emilia-Romagna, Italia"
1, "Via Allende 8, Cascina, Toscana, Italia"
2, "Via Coppi, 17, Formigine, Emilia-Romagna, Italia"
3, "Via Dei Salici 20, Gallarate, Lombardia, Italia"
4, "Via Vittorio Veneto N7, San Giuliano Terme, Toscana, Italia"
5, "Via Tiro A Segno 8, Gallarate, Lombardia, Italia"
6, "Urne Di Sopra 3, Bagnolo Mella, Lombardia, Italia"
7, "Via San Francesco D'assisi 84, Nichelino, Piemonte, Italia"
8, "Via Corletto, 10/A, Formigine, Emilia-Romagna, Italia"
9, "Via Beppe Fenoglio 17, Canale D'alba, Piemonte, Italia"
10, "Via 2 Giugno 19, Ponsacco, Toscana, Italia"
